Timestep,Cell,CO2
20.0,poly_0,0.0
20.0,poly_1,0.0
20.0,poly_2,0.0
20.0,poly_3,0.0
20.0,poly_4,0.0
20.0,poly_5,0.0
20.0,poly_6,0.0
20.0,poly_7,0.0
20.0,poly_8,0.0
20.0,poly_9,0.0
20.0,poly_10,0.0
20.0,poly_11,0.0
20.0,poly_12,0.0
20.0,poly_13,0.0
20.0,poly_14,0.0
20.0,poly_15,0.0
20.0,poly_16,0.0
20.0,poly_17,0.0
20.0,poly_18,0.0
20.0,poly_19,0.0
20.0,poly_20,0.0
20.0,poly_21,0.0
20.0,poly_22,0.0
20.0,poly_23,0.0
20.0,poly_24,0.0
20.0,poly_25,0.0
20.0,poly_26,0.0
20.0,poly_27,0.0
20.0,poly_28,0.0
20.0,poly_29,0.0
20.0,poly_30,0.0
20.0,poly_31,0.0
20.0,poly_32,0.0
20.0,poly_33,0.0
20.0,poly_34,0.0
20.0,poly_35,0.0
20.0,poly_36,0.0
20.0,poly_37,0.0
20.0,poly_38,0.0
20.0,poly_39,0.0
20.0,poly_40,0.0
20.0,poly_41,0.0
20.0,poly_42,0.0
20.0,poly_43,0.0
20.0,poly_44,0.0
20.0,poly_45,0.0
20.0,poly_46,0.0
20.0,poly_47,0.0
20.0,poly_48,0.0
20.0,poly_49,0.0
20.0,poly_50,0.0
20.0,poly_51,0.0
20.0,poly_52,0.0
20.0,poly_53,0.0
20.0,poly_54,0.0
20.0,poly_55,0.0
20.0,poly_56,0.0
20.0,poly_57,0.0
20.0,poly_58,0.0
20.0,poly_59,0.0
20.0,poly_60,0.0
20.0,poly_61,0.0
20.0,poly_62,0.0
20.0,poly_63,0.0
20.0,poly_64,0.0
20.0,poly_65,0.0
20.0,poly_66,0.0
20.0,poly_67,0.0
20.0,poly_68,0.0
20.0,poly_69,0.0
20.0,poly_70,0.0
20.0,poly_71,0.0
20.0,poly_72,0.0
20.0,poly_73,0.0
20.0,poly_74,0.0
20.0,poly_75,0.0
20.0,poly_76,0.0
20.0,poly_77,0.0
20.0,poly_78,0.0
20.0,poly_79,0.0
20.0,poly_80,0.0
20.0,poly_81,0.0
20.0,poly_82,0.0
20.0,poly_83,0.0
20.0,poly_84,0.0
20.0,poly_85,0.0
20.0,poly_86,0.0
20.0,poly_87,0.0
20.0,poly_88,0.0
20.0,poly_89,0.0
20.0,poly_90,0.0
20.0,poly_91,0.0
20.0,poly_92,6.658755407732571e-10
20.0,poly_93,7.851283597523796e-06
20.0,poly_94,0.00018653051936923918
20.0,poly_95,0.00019438113709122214
20.0,poly_96,0.0
20.0,poly_97,0.0
20.0,poly_98,0.0
20.0,poly_99,0.0
20.0,poly_100,0.0
20.0,poly_101,0.0
20.0,poly_102,0.0
20.0,poly_103,0.0
20.0,poly_104,7.850617721983026e-06
20.0,poly_105,0.09256598624940882
20.0,poly_106,2.199179443279019
20.0,poly_107,2.291737578910705
20.0,poly_108,0.0
20.0,poly_109,0.0
20.0,poly_110,0.0
20.0,poly_111,0.0
20.0,poly_112,0.0
20.0,poly_113,0.0
20.0,poly_114,0.0
20.0,poly_115,0.0
20.0,poly_116,0.00017867923577171536
20.0,poly_117,2.106792136265381
20.0,poly_118,50.053093420870965
20.0,poly_119,52.15970687790056
20.0,poly_120,0.0
20.0,poly_121,0.0
20.0,poly_122,0.0
20.0,poly_123,0.0
20.0,poly_124,0.0
20.0,poly_125,0.0
20.0,poly_126,0.0
20.0,poly_127,0.0
20.0,poly_128,7.850617721983026e-06
20.0,poly_129,0.09256598624940882
20.0,poly_130,2.199179443279019
20.0,poly_131,2.291737578910705
20.0,poly_132,0.0
20.0,poly_133,0.0
20.0,poly_134,0.0
20.0,poly_135,0.0
20.0,poly_136,0.0
20.0,poly_137,0.0
20.0,poly_138,0.0
20.0,poly_139,0.0
20.0,poly_140,6.658755407732571e-10
20.0,poly_141,7.851283597523796e-06
20.0,poly_142,0.00018653051936923918
20.0,poly_143,0.00019438113709122214
20.0,poly_0,0.0
20.0,poly_1,0.0
20.0,poly_2,0.0
20.0,poly_3,0.0
20.0,poly_4,0.0
20.0,poly_5,0.0
20.0,poly_6,0.0
20.0,poly_7,0.0
20.0,poly_8,0.0
20.0,poly_9,0.0
20.0,poly_10,0.0
20.0,poly_11,0.0
20.0,poly_12,0.0
20.0,poly_13,0.0
20.0,poly_14,0.0
20.0,poly_15,0.0
20.0,poly_16,0.0
20.0,poly_17,0.0
20.0,poly_18,0.0
20.0,poly_19,0.0
20.0,poly_20,0.0
20.0,poly_21,0.0
20.0,poly_22,0.0
20.0,poly_23,0.0
20.0,poly_24,0.0
20.0,poly_25,0.0
20.0,poly_26,0.0
20.0,poly_27,0.0
20.0,poly_28,0.0
20.0,poly_29,0.0
20.0,poly_30,0.0
20.0,poly_31,0.0
20.0,poly_32,0.0
20.0,poly_33,0.0
20.0,poly_34,0.0
20.0,poly_35,0.0
20.0,poly_36,0.0
20.0,poly_37,0.0
20.0,poly_38,0.0
20.0,poly_39,0.0
20.0,poly_40,0.0
20.0,poly_41,0.0
20.0,poly_42,0.0
20.0,poly_43,0.0
20.0,poly_44,0.0
20.0,poly_45,0.0
20.0,poly_46,0.0
20.0,poly_47,0.0
20.0,poly_48,0.0
20.0,poly_49,0.0
20.0,poly_50,0.0
20.0,poly_51,0.0
20.0,poly_52,0.0
20.0,poly_53,0.0
20.0,poly_54,0.0
20.0,poly_55,0.0
20.0,poly_56,0.0
