Detector,Time,qPKW
16219V72812_1,20,1
16219V72812_3,20,1
16219V72812_1,30,1
21801V72158_1,70,1
21801V72158_2,70,1
16219V72812_1,160,1
16219V72812_2,170,1
88356V72157_6,250,1
16219V72812_1,290,1
81077V72158_2,320,1
81077V72158_2,330,1
81077V72158_2,390,1
21801V72158_1,410,1
81077V72158_2,410,1
16219V72812_1,420,1
16219V72812_1,560,1
16219V72812_2,560,1
88356V72157_6,570,1
16219V72812_1,620,1
16219V72812_1,690,1
21801V72158_2,750,1
81077V72158_2,750,1
21801V72158_1,760,1
21801V72158_1,770,1
81077V72158_2,790,1
16219V72812_1,820,1
16219V72812_1,960,1
21801V72158_2,1030,1
81077V72158_2,1080,1
16219V72812_1,1090,1
16219V72812_2,1130,1
88356V72157_6,1130,1
16219V72812_2,1140,1
21801V72158_1,1150,1
16219V72812_1,1220,1
16219V72812_2,1230,1
16219V72812_1,1240,1
81077V72158_2,1240,1
81077V72158_2,1250,1
16219V72812_1,1360,1
16219V72812_1,1490,1
81077V72158_2,1510,1
21801V72158_1,1520,1
21801V72158_1,1550,1
81077V72158_2,1580,1
16219V72812_3,1620,1
81077V72158_2,1620,1
16219V72812_2,1640,1
16219V72812_2,1740,1
21801V72158_2,1750,1
16219V72812_1,1760,1
81077V72158_2,1760,1
16219V72812_2,1780,1
16219V72812_1,1820,1
81077V72158_2,1820,1
81077V72158_2,1830,1
21801V72158_1,1850,1
16219V72812_1,1890,1
16219V72812_2,1940,1
16219V72812_2,2010,1
16219V72812_3,2020,1
81077V72158_2,2090,1
81077V72158_2,2110,1
88356V72157_6,2120,1
16219V72812_1,2160,1
21801V72158_1,2210,1
21801V72158_2,2240,1
16219V72812_2,2270,1
16219V72812_2,2280,1
16219V72812_2,2290,1
21801V72158_1,2290,1
16219V72812_1,2300,1
16219V72812_2,2330,1
88356V72157_6,2360,1
81077V72158_2,2400,1
81077V72158_2,2410,1
16219V72812_1,2420,1
16219V72812_1,2430,1
16219V72812_2,2440,1
16219V72812_2,2480,1
16219V72812_2,2490,1
16219V72812_2,2500,1
16219V72812_2,2550,1
21801V72158_1,2550,1
88356V72157_6,2550,1
16219V72812_1,2570,1
16219V72812_2,2580,1
16219V72812_1,2690,1
81077V72158_2,2740,1
88356V72157_1,2780,1
81077V72158_2,2810,1
16219V72812_1,2820,1
88356V72157_6,2820,1
88356V72157_1,2840,1
81077V72158_2,2870,1
88356V72157_6,2900,1
16219V72812_2,2910,1
21801V72158_1,2930,1
16219V72812_2,2960,1
16219V72812_3,2960,1
16219V72812_3,3020,1
88356V72157_1,3050,1
16219V72812_1,3120,1
81077V72158_2,3130,1
16219V72812_1,3220,1
16219V72812_2,3220,1
16219V72812_2,3230,1
21801V72158_1,3320,1
88356V72157_6,3340,1
16219V72812_1,3360,1
81077V72158_2,3370,1
81077V72158_2,3430,1
16219V72812_1,3490,1
16219V72812_1,3500,1
16219V72812_2,3510,1
16219V72812_2,3580,1
16219V72812_1,3620,1
16219V72812_3,3620,1
21801V72158_1,3650,1
81077V72158_2,3680,1
16219V72812_2,3730,1
16219V72812_2,3800,1
16219V72812_1,3810,1
81077V72158_2,3830,1
16219V72812_2,3870,1
21801V72158_2,3870,1
16219V72812_2,3890,1
16219V72812_2,3950,1
81077V72158_2,3980,1
16219V72812_1,4000,1
16219V72812_2,4070,1
81077V72158_2,4070,1
16219V72812_1,4140,1
88356V72157_1,4140,1
81077V72158_2,4170,1
16219V72812_1,4190,1
88356V72157_1,4250,1
81077V72158_2,4360,1
81077V72158_2,4370,1
16219V72812_1,4380,1
16219V72812_1,4390,1
88356V72157_1,4390,1
21801V72158_1,4400,1
16219V72812_1,4570,1
88356V72157_6,4630,1
16219V72812_3,4650,1
16219V72812_2,4750,1
16219V72812_1,4760,1
16219V72812_2,4780,1
16219V72812_2,4870,1
16219V72812_2,4880,1
16219V72812_1,4950,1
16219V72812_2,5090,1
21801V72158_1,5100,1
21801V72158_2,5110,1
16219V72812_1,5140,1
16219V72812_3,5170,1
16219V72812_2,5190,1
81077V72158_2,5230,1
88356V72157_1,5300,1
16219V72812_1,5330,1
88356V72157_1,5510,1
16219V72812_2,5520,2
16219V72812_1,5530,1
16219V72812_2,5530,1
16219V72812_2,5570,1
16219V72812_2,5630,1
16219V72812_2,5660,1
16219V72812_1,5690,1
16219V72812_1,5710,1
